Tract,Total population (2020)
1898.00,3980
1899.02,5218
1899.03,2147
1899.04,2518
1899.05,2410
1901.00,4801
1902.01,2636
1902.02,3038
1903.01,5122
1905.10,5068
1905.20,3971
1907.00,3330
1908.01,2448
1908.02,2700
1909.01,4468
1909.02,4334
1910.00,3784
1911.10,3451
1911.20,4581
1912.01,4724
1912.03,2753
1912.04,2068
1913.01,2505
1913.02,2405
1914.10,5077
1914.20,3793
1915.00,5683
1916.10,4374
1916.20,3034
1917.10,2932
1917.20,3879
1918.10,3501
1918.20,2719
1919.01,3522
1925.10,3666
1925.20,4964
1926.10,4793
1926.20,3648
1927.00,3719
