Tract,Total Pop,Persons,C,V,R,T,M,TotCts,CheckTot,,,,,
1920.01,9.4,8,0,0,1.4,0,0,8.9,0,1.70478,1.80613,1.47429,1.46741,1.62202
1920.02,23.5,3,0,8.9,9.9,0,1.7,15.7,0,0.5865859524,0.5536700016,0.6782926019,0.681472799,0.6165152094
1944.01,14.8,5,0,0,1.4,0,8.4,11.1,0,,,,,
1944.02,15.1,10,0,1.8,0,0,3.4,13.1,0.1,,,,,
1945.00,27.5,14,0,0,0,11.8,1.7,23.1,0,,,,,
2140.00,29.3,22,0,0,1.4,5.9,0,27.0,0,,,,,
2144.00,10.6,6,0,1.8,2.8,0,0,8.9,0,,,,,
2145.01,13.2,10,1.5,0,0,0,1.7,11.9,0,,,,,
2145.02,0,0,0,0,0,0,0,0.0,0,,,,,
2145.03,0,0,0,0,0,0,0,0.0,0,,,,,
2146.00,17.2,6,0,1.8,1.4,3,5,13.1,0,,,,,
2147.00,24.1,11,1.5,5.3,0,3,3.4,19.0,0.1,,,,,
2148.00,27.2,16,1.5,0,0,3,6.7,23.1,0,,,,,
2149.01,8.5,4,4.5,0,0,0,0,6.6,0,,,,,
2149.02,11.5,10,0,0,0,1.5,0,11.0,0,,,,,
2151.01,9.5,8,1.5,0,0,0,0,8.9,0,,,,,
2151.02,2,2,0,0,0,0,0,2.0,0,,,,,
2162.00,15,6,1.5,0,2.8,3,1.7,11.9,0,,,,,
2163.00,2,2,0,0,0,0,0,2.0,0,,,,,
